Name,Date,order,TalkTitle,Abstract,
Tamsin Edwards,22 April 2024,1,How uncertain is future sea level rise?,Keynote,
Isabelle Tingzon,22 April 2024,2,Mapping Housing Stock Characteristics from Drone Images for Climate Resilience in the CaribbeanAnnotations via NIDM-Terms Fosters Improved Search of OpenNeuro Datasets,"Comprehensive housing stock information is crucial for informing the development of climate-resilience strategies aiming to reduce the adverse impacts of extreme climate hazards in high-risk regions like the Caribbean. In this study, we propose an end-to-end workflow for rapidly generating critical baseline exposure data using very high-resolution drone imagery and deep learning techniques. Specifically, our work leverages the Segment Anything Model (SAM) and convolutional neural networks (CNN) to automate the generation of building footprints and roof classification maps. We evaluate the cross-country generalizability of the CNN models to determine how well models trained in one geographical context can be adapted to another. Finally, we discuss our initiatives for training and upskilling government staff, community mappers, and disaster responders in the use of geospatial technologies. Our work emphasizes the importance of local capacity building in the adoption of AI and Earth Observation for climate resilience in the Caribbean.",
Paul Harris,22 April 2024,3,Envisioning Digital Twins for Instrumented Farms of the Future,"This paper describes the methodological progress in the creation of three demonstrator farm Digital Twins informed by the open and globally unique datasets of three instrumented research farms at Rothamsted Research's North Wyke campus in Devon UK. Mitigating food insecurity, in the context of climate change, is a major challenge of the 21st century. To address this, it is necessary to maintain or enhance productivity from agriculture, while at the same time balancing ecological priorities. To strike this balance, timely decisions, say via a Digital Twin, on agronomic management, system conversion and / or the adoption of a particular farming philosophy are required.",
Arjun Biswas,22 April 2024,4,Using a large language model to create a chatbot companion for a major climate report,"Large language models (LLMs) are text models trained on a large corpus of information and capable of generating natural language responses to user queries . One application of LLMs is to create virtual assistants or chatbots that can provide information about a particular domain, often limiting the LLM to work with a particular corpus or database in a 'retrieval augmented generation' approach. Here we describe the creation and evaluation of a chatbot designed to act as a companion or guide to a new report about tipping points in the climate system.
The Global Tipping Points Report is a recent and comprehensive review of scientific understanding around abrupt changes (so-called tipping points"") in the climate system, including both physical climate and societal shifts. The report was presented at COP28 and incorporated contributions from more than 200 researchers over 90 organizations. We created a chatbot as an additional channel for readers to engage with the large and complex report. The chatbot was intended to be capable of answering questions about report content without going beyond the scope of the report, misrepresenting any content or introducing falsifications. To increase trust, the chatbot was also designed to clearly reference the sections of the report used to generate each answer. Since this was a novel communications mechanism for the report-writing team, an additional goal was to evaluate the chatbot's effectiveness as a way of improving the delivery of scientific information to a general audience.""",
Peter Miersch,22 April 2024,5,Sensitivity analysis of causal discovery on simulated river flood data using non-linear conditional independence testing,"Analyzing river floods with causal inference is a promising pursuit, as it holds the potential to unravel the compounding drivers contributing to them, such as intense precipitation, snowmelt, and elevated antecedent soil moisture. Modern causal inference methods, like the PCMCI (PC algorithm Momentary Conditional Independence) framework, are able to identify such drivers from complex multivariate time series through causal discovery and build causally aware statistical models. However, causal inference tailored to extreme events remains a challenge due to data length limitations, proper conditional independence testing tailored to non-linear relationships and a high level of uncertainty in the resulting causal graphs. In this study, we generate a dataset of simulated high runoff events for many different catchments and perform a sensitivity analysis on these data. We go beyond the typically used linear models by applying Gaussian Process Regression in the conditional independence test to identify the causal graph. We illustrate that Gaussian Process Regression is more suitable to represent the relationship between drivers and response. However, we also show that, even using non-linear independence testing and very long time series, the results do not converge towards a single causal graph. Ultimately, this work will help establish best practices in causal inference for flood research to identify meteorological and catchment specific flood drivers in a changing climate.",
Robert Rouse,22 April 2024,6,Gaussian & Neural Processes in Hydrology,"Machine learning approaches are rapidly changing how modelling is performed in the environmental sciences, with data driven methodologies being slated for operational use in atmospheric and oceanic forecasting.  However, despite the capabilities of machine learning models as empirical models for accurately predicting river system behaviour, they face adoption challenges due to concerns around a perceived lack of interpretability and out-of-sample generalisation.  Gaussian Process models can offer practitioners a more interpretable model that generalises well and enables extrapolation beyond the training data, albeit at high computational cost.  In this research, we investigate the use of Gaussian Processes alongside the related Sparse Variational Gaussian Processes and hybrid Neural Processes and the advantages and disadvantages of these approaches in applying these models to hydrological problems, in terms of general performance, handling extremes, and computational efficiency.",
James Briant,22 April 2024,7,Hybrid climate simulation including machine-learnt subgrid variability from kilometre-scale weather simulation,"Underrepresentation of cloud formation is a known failing in current climate simulations. The coarse grid resolution required by the computational constraint of integrating over long time scales does not permit the inclusion of underlying cloud generating physical processes. This work employs a multi-output Gaussian Process (MOGP) trained on high resolution Unified Model (UM) simulation data to predict the variability of temperature and specific humidity profiles within the climate model. A proof-of-concept study has been carried out where a trained MOGP model is coupled in-situ with a simplified Atmospheric General Circulation Model (AGCM) named SPEEDY. The temperature and specific humidity profiles of the SPEEDY model outputs are perturbed at each timestep according to the predicted high resolution informed variability. 10-year forecasts are generated for both default SPEEDY and ML-hybrid SPEEDY models and output fields are compared ensuring hybrid model predictions remain representative of Earth's atmosphere. Some changes in the precipitation, outgoing longwave and shortwave radiation patterns are observed indicating modelling improvements in the complex region surrounding India and the Indian sea. More generally, this approach creates a computationally efficient path towards more realistic future climate change predictions.",
Ilan Price,22 April 2024,8,Progress and challenges in ensemble weather forecasting with machine learning,Keynote,
Peter Dueben,23 April 2024,9,The digital revolution of Earth system modelling,Keynote,
Oscar Key,23 April 2024,10,Scalable Data Assimilation with Message Passing,"Data assimilation is a core component of numerical weather prediction systems. The large quantity of data processed during assimilation requires the computation to be distributed across increasingly many compute nodes, yet existing approaches suffer from synchronisation overhead in this setting. In this paper, we exploit the formulation of data assimilation as a Bayesian inference problem and apply a message-passing algorithm to solve the spatial inference problem. Since message passing is inherently based on local computations, this approach lends itself to parallel and distributed computation. In combination with a GPU-accelerated implementation, we can scale the algorithm to very large grid sizes while retaining good accuracy and compute and memory requirements.",
